system:index,country,elevation,extract_end_date_utc,extract_ini_date_utc,extract_latitude,extract_longitude,length_days,length_fire,pyroCb_date_utc,pyroCb_id,pyroCb_latitude,pyroCb_longitude,pyroCb_time_utc,region,satellite,time_zone,wildfire_centroid_latitude,wildfire_centroid_longitude,wildfire_end_date_utc,wildfire_id,wildfire_ini_date_utc,.geo
00000000000000000035,US,2789,2021-06-02 06:00:00+00:00,2021-05-27 06:00:00+00:00,33.29999923706055,-108.5999984741211,,6,2021-05-30,179,33.29999923706055,-108.5999984741211,2100.0,New Mexico,GOES,America/Denver,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,US,1099,2021-06-18 07:00:00+00:00,2021-06-12 07:00:00+00:00,33.20899963378906,-111.08999633789062,,6,2021-06-15,180,33.20899963378906,-111.08999633789062,200.0,Arizona,GOES,America/Phoenix,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,US,1720,2021-06-22 06:00:00+00:00,2021-06-16 06:00:00+00:00,37.70000076293945,-113.80000305175781,,6,2021-06-19,181,37.70000076293945,-113.80000305175781,2200.0,UTAH,GOES,America/Denver,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,US,1593,2021-06-22 06:00:00+00:00,2021-06-16 06:00:00+00:00,37.6498908996582,-113.6604995727539,,6,2021-06-19,183,37.6498908996582,-113.6604995727539,2200.0,UTAH,GOES,America/Denver,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,US,598,2021-06-22 07:00:00+00:00,2021-06-16 07:00:00+00:00,36.207000732421875,-121.55999755859375,,6,2021-06-19,182,36.207000732421875,-121.55999755859375,,California,GOES,America/Los_Angeles,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,US,2014,2021-06-24 07:00:00+00:00,2021-06-18 07:00:00+00:00,34.36600112915039,-111.06099700927734,,6,2021-06-21,184,34.36600112915039,-111.06099700927734,2300.0,Eastern Arizona,GOES,America/Phoenix,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,US,2270,2021-06-24 07:00:00+00:00,2021-06-18 07:00:00+00:00,33.45800018310547,-109.39199829101562,,6,2021-06-21,185,33.45800018310547,-109.39199829101562,2300.0,Eastern Arizona,GOES,America/Phoenix,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,US,1310,2021-07-04 07:00:00+00:00,2021-06-28 07:00:00+00:00,41.45899963378906,-122.3290023803711,,6,2021-07-01,189,41.45899963378906,-122.3290023803711,209.0,"California, North of Mount shasta",GOES,America/Los_Angeles,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,US,1916,2021-07-12 07:00:00+00:00,2021-07-06 07:00:00+00:00,39.875,-120.36799621582031,,6,2021-07-09,196,39.875,-120.36799621582031,2120.0,California,GOES,America/Los_Angeles,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,US,1692,2021-07-16 07:00:00+00:00,2021-07-10 07:00:00+00:00,42.61600112915039,-121.4209976196289,,6,2021-07-13,204,42.61600112915039,-121.4209976196289,300.0,Oregon,GOES,America/Los_Angeles,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,US,2114,2021-07-19 06:00:00+00:00,2021-07-13 06:00:00+00:00,45.68299865722656,-113.85399627685547,,6,2021-07-16,206,45.68299865722656,-113.85399627685547,,southwest Montana,GOES,America/Denver,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,US,1692,2021-07-20 07:00:00+00:00,2021-07-14 07:00:00+00:00,42.61600112915039,-121.4209976196289,,6,2021-07-17,209,42.61600112915039,-121.4209976196289,211.0,Oregon,GOES,America/Los_Angeles,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,US,963,2021-07-22 07:00:00+00:00,2021-07-16 07:00:00+00:00,49.20000076293945,-118.88999938964844,,6,2021-07-19,214,49.20000076293945,-118.88999938964844,2140.0,Northern Washington,GOES,America/Vancouver,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,US,1097,2021-07-23 07:00:00+00:00,2021-07-17 07:00:00+00:00,40.0,-121.19999694824219,,6,2021-07-20,213,40.0,-121.19999694824219,2100.0,Northern California,GOES,America/Los_Angeles,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,US,1389,2021-08-02 07:00:00+00:00,2021-07-27 07:00:00+00:00,40.15999984741211,-120.87999725341797,,6,2021-07-30,221,40.15999984741211,-120.87999725341797,2200.0,Northern California,GOES,America/Los_Angeles,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,US,963,2021-08-02 07:00:00+00:00,2021-07-27 07:00:00+00:00,49.20000076293945,-118.88999938964844,,6,2021-07-30,223,49.20000076293945,-118.88999938964844,2300.0,Northern Washington,GOES,America/Vancouver,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,US,1174,2021-08-03 07:00:00+00:00,2021-07-28 07:00:00+00:00,40.349998474121094,-123.04000091552734,,6,2021-07-31,222,40.349998474121094,-123.04000091552734,2130.0,Northern California,GOES,America/Los_Angeles,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,US,1182,2021-08-08 07:00:00+00:00,2021-08-02 07:00:00+00:00,40.75199890136719,-123.33699798583984,,6,2021-08-05,231,40.75199890136719,-123.33699798583984,,California,GOES,America/Los_Angeles,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,US,1862,2021-08-08 07:00:00+00:00,2021-08-02 07:00:00+00:00,41.209999084472656,-120.66999816894531,,6,2021-08-05,230,41.209999084472656,-120.66999816894531,,Northern California,GOES,America/Los_Angeles,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,US,916,2021-08-08 07:00:00+00:00,2021-08-02 07:00:00+00:00,44.5,-117.37999725341797,,6,2021-08-05,228,44.5,-117.37999725341797,,Eastern Oregon,GOES,America/Los_Angeles,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,US,2580,2021-08-09 06:00:00+00:00,2021-08-03 06:00:00+00:00,46.553001403808594,-111.35600280761719,,6,2021-08-06,233,46.553001403808594,-111.35600280761719,,Central Montana,GOES,America/Denver,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,US,1722,2021-08-09 06:00:00+00:00,2021-08-03 06:00:00+00:00,46.70000076293945,-111.0,,6,2021-08-06,232,46.70000076293945,-111.0,,Montana,GOES,America/Denver,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,US,1795,2021-08-13 07:00:00+00:00,2021-08-07 07:00:00+00:00,40.25,-120.69999694824219,,6,2021-08-10,236,40.25,-120.69999694824219,400.0,California,GOES,America/Los_Angeles,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,US,1174,2021-08-16 07:00:00+00:00,2021-08-10 07:00:00+00:00,40.349998474121094,-123.04000091552734,,6,2021-08-13,240,40.349998474121094,-123.04000091552734,,California,GOES,America/Los_Angeles,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
