pyroCb_id,pyroCb_date_utc,pyroCb_time_utc,pyroCb_longitude,pyroCb_latitude,country,region,satellite,wildfire_id,wildfire_ini_date_utc,wildfire_end_date_utc,length_days,wildfire_centroid_longitude,wildfire_centroid_latitude,extract_longitude,extract_latitude,extract_ini_date_utc,extract_end_date_utc,time_zone,length_fire
260,2022-06-11,2300.0,-155.6,63.3,US,Alaska,GOES,,,,,,,-155.6,63.3,2022-06-08 08:00:00+00:00,2022-06-14 08:00:00+00:00,America/Anchorage,6
258,2022-06-12,300.0,-153.4,63.8,US,Alaska,GOES,,,,,,,-153.4,63.8,2022-06-09 08:00:00+00:00,2022-06-15 08:00:00+00:00,America/Anchorage,6
265,2022-07-02,550.0,-149.7,65.5,US,Alaska,GOES,,,,,,,-149.7,65.5,2022-06-29 08:00:00+00:00,2022-07-05 08:00:00+00:00,America/Anchorage,6
259,2020-06-08,,-149.6,65.9,US,Alaska,GOES,23353806,2020-06-05,2020-06-12,7,-149.53645827506242,65.85841048789823,-149.53645827506242,65.85841048789823,2020-06-05 08:00:00+00:00,2020-06-12 08:00:00+00:00,America/Anchorage,7
266,2022-07-02,719.0,-149.5,65.6,US,Alaska,GOES,,,,,,,-149.5,65.6,2022-06-29 08:00:00+00:00,2022-07-05 08:00:00+00:00,America/Anchorage,6
216,2021-07-20,110.0,-133.0,64.1,Canada,Yukon,GOES,,,,,,,-133.0,64.1,2021-07-17 07:00:00+00:00,2021-07-23 07:00:00+00:00,America/Whitehorse,6
215,2021-07-20,50.0,-132.8,63.1,Canada,Yukon,GOES,,,,,,,-132.8,63.1,2021-07-17 07:00:00+00:00,2021-07-23 07:00:00+00:00,America/Whitehorse,6
231,2021-08-05,,-123.337,40.752,US,California,GOES,,,,,,,-123.337,40.752,2021-08-02 07:00:00+00:00,2021-08-08 07:00:00+00:00,America/Los_Angeles,6
222,2021-07-31,2130.0,-123.04,40.35,US,Northern California,GOES,,,,,,,-123.04,40.35,2021-07-28 07:00:00+00:00,2021-08-03 07:00:00+00:00,America/Los_Angeles,6
240,2021-08-13,,-123.04,40.35,US,California,GOES,,,,,,,-123.04,40.35,2021-08-10 07:00:00+00:00,2021-08-16 07:00:00+00:00,America/Los_Angeles,6
190,2021-07-01,200.0,-123.0,57.5,Canada,British Columbia,GOES,,,,,,,-123.0,57.5,2021-06-28 07:00:00+00:00,2021-07-04 07:00:00+00:00,America/Dawson_Creek,6
165,2018-07-27,1800.0,-122.6236,40.6543,US,California,GOES,21121763,2018-07-23,2018-08-24,32,-122.59024772071352,40.70206732557745,-122.59024772071352,40.70206732557745,2018-07-23 07:00:00+00:00,2018-08-24 07:00:00+00:00,America/Los_Angeles,32
227,2021-07-31,2000.0,-122.5,49.0,Canada,,GOES,,,,,,,-122.5,49.0,2021-07-28 07:00:00+00:00,2021-08-03 07:00:00+00:00,America/Los_Angeles,6
189,2021-07-01,209.0,-122.329,41.459,US,"California, North of Mount shasta",GOES,,,,,,,-122.329,41.459,2021-06-28 07:00:00+00:00,2021-07-04 07:00:00+00:00,America/Los_Angeles,6
166,2018-09-05,22.0,-122.228,40.89,US,California,GOES,21230673,2018-08-08,2018-09-20,43,-122.38861458344537,40.99455419356622,-122.38861458344537,40.99455419356622,2018-08-08 07:00:00+00:00,2018-09-20 07:00:00+00:00,America/Los_Angeles,43
229,2021-08-05,100.0,-122.0,51.0,Canada,British Columbia,GOES,,,,,,,-122.0,51.0,2021-08-02 07:00:00+00:00,2021-08-08 07:00:00+00:00,America/Vancouver,6
186,2021-06-30,2200.0,-121.9,51.0,Canada,British Columbia,GOES,,,,,,,-121.9,51.0,2021-06-27 07:00:00+00:00,2021-07-03 07:00:00+00:00,America/Vancouver,6
224,2021-07-31,2120.0,-121.8,51.6,Canada,British Columbia,GOES,,,,,,,-121.8,51.6,2021-07-28 07:00:00+00:00,2021-08-03 07:00:00+00:00,America/Vancouver,6
188,2021-06-30,,-121.581389,50.231111,Canada,British Columbia,GOES,,,,,,,-121.581389,50.231111,2021-06-27 07:00:00+00:00,2021-07-03 07:00:00+00:00,America/Vancouver,6
182,2021-06-19,,-121.56,36.207,US,California,GOES,,,,,,,-121.56,36.207,2021-06-16 07:00:00+00:00,2021-06-22 07:00:00+00:00,America/Los_Angeles,6
204,2021-07-13,300.0,-121.421,42.616,US,Oregon,GOES,,,,,,,-121.421,42.616,2021-07-10 07:00:00+00:00,2021-07-16 07:00:00+00:00,America/Los_Angeles,6
209,2021-07-17,211.0,-121.421,42.616,US,Oregon,GOES,,,,,,,-121.421,42.616,2021-07-14 07:00:00+00:00,2021-07-20 07:00:00+00:00,America/Los_Angeles,6
217,2021-07-21,2320.0,-121.3,50.4,Canada,British Columbia,GOES,,,,,,,-121.3,50.4,2021-07-18 07:00:00+00:00,2021-07-24 07:00:00+00:00,America/Vancouver,6
213,2021-07-20,2100.0,-121.2,40.0,US,Northern California,GOES,,,,,,,-121.2,40.0,2021-07-17 07:00:00+00:00,2021-07-23 07:00:00+00:00,America/Los_Angeles,6
221,2021-07-30,2200.0,-120.88,40.16,US,Northern California,GOES,,,,,,,-120.88,40.16,2021-07-27 07:00:00+00:00,2021-08-02 07:00:00+00:00,America/Los_Angeles,6
187,2021-06-30,2200.0,-120.8,51.0,Canada,British Columbia,GOES,,,,,,,-120.8,51.0,2021-06-27 07:00:00+00:00,2021-07-03 07:00:00+00:00,America/Vancouver,6
236,2021-08-10,400.0,-120.7,40.25,US,California,GOES,,,,,,,-120.7,40.25,2021-08-07 07:00:00+00:00,2021-08-13 07:00:00+00:00,America/Los_Angeles,6
238,2021-08-13,,-120.7,40.25,US,California,GOES,,,,,,,-120.7,40.25,2021-08-10 07:00:00+00:00,2021-08-16 07:00:00+00:00,America/Los_Angeles,6
241,2021-08-14,,-120.7,40.25,US,California,GOES,,,,,,,-120.7,40.25,2021-08-11 07:00:00+00:00,2021-08-17 07:00:00+00:00,America/Los_Angeles,6
230,2021-08-05,,-120.67,41.21,US,Northern California,GOES,,,,,,,-120.67,41.21,2021-08-02 07:00:00+00:00,2021-08-08 07:00:00+00:00,America/Los_Angeles,6
239,2021-08-13,,-120.67,41.21,US,California,GOES,,,,,,,-120.67,41.21,2021-08-10 07:00:00+00:00,2021-08-16 07:00:00+00:00,America/Los_Angeles,6
244,2021-09-09,2200.0,-120.613,42.277,US,Southern Oregon,GOES,,,,,,,-120.613,42.277,2021-09-06 07:00:00+00:00,2021-09-12 07:00:00+00:00,America/Los_Angeles,6
196,2021-07-09,2120.0,-120.368,39.875,US,California,GOES,,,,,,,-120.368,39.875,2021-07-06 07:00:00+00:00,2021-07-12 07:00:00+00:00,America/Los_Angeles,6
